Field=#~Integer~#~50|Field=Comment~String~Comment~147|Field=Designator~String~Designator~147|Field=Footprint~String~Footprint~233|Field=LibRef~String~LibRef~108|Field=Quantity~Integer~Quantity~62|Field=Value~String~Value~189|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Necklace.PrjPCB|ReportField=ProjectFullPath~C:\Users\felix\Dropbox\#Omamori\Altium\Necklace.PrjPCB|ReportField=Title~Bill of Materials For Project [Necklace.PrjPCB] (PCB Document : Necklace_v3_pcb.PcbDoc)|ReportField=ReportTime~19:02:19|ReportField=ReportDate~10.01.2019|ReportField=ReportDateTime~10.01.2019 19:02:19|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~24|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~Felix Mark|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~10.01.2019|ReportField=CurrentTime~18:55:31|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\felix\Dropbox\#Omamori\Altium\Necklace_schematic.SchDoc|ReportField=DocumentName~Necklace_schematic.SchDoc|ReportField=DocumentNumber~1|ReportField=DrawnBy~Felix Mark|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~10.01.2019|ReportField=Organization~|ReportField=ProjectName~Necklace.PrjPCB|ReportField=Revision~1.0|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~1|ReportField=Time~|ReportField=Title~Omamori Schematic|ReportField=DataSourceFileName~Necklace.PrjPCB|ReportField=DataSourceFullPath~C:\Users\felix\Dropbox\#Omamori\Altium\Necklace.PrjPCB|ReportField=PCBDataSourceFileName~Necklace_v3_pcb.PcbDoc|ReportField=PCBDataSourceFullPath~C:\Users\felix\Dropbox\#Omamori\Altium\Necklace_v3_pcb.PcbDoc|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|Touch_sensor|BTN|Touch_sensor|Touch_sensor|1|
2|DMS3R3224R Supercap|C1|DMS3R3224R Supercap|DMS3R3224R Supercap|1|
3|Cap Semi|C2, C3, C4, C5|C0805|Cap Semi|4|1uF, 10uF, 4.7uF, 100pF
4|COM|COM|Synchronizer|COM|1|
5|ESD-Diode|D1, D2, D3, D4|Schutzdiode|ESD-Diode|4|
6|Inductor|L1|Inductivity|Inductivity|1|
7|3528_LED|LED1|3528_LED|3528_LED|1|
8|Res3|R1, R2, R3, R4, R5, R6|6-0805_N|Res3|6|510k, 1.1M, 300k, 200, 8.2M, 47k
9|Solar Panel|Sol1, Sol2|Solarzelle|Solar_Panel|2|
10|LTC3105EMSPBF|U1|SOP65P490X110-12N|LTC3105EMSPBF|1|
11|MSP430G2210IDR|U2|MSP430G2210|MSP430G2210IDR|1|
12|Program_connector|U3|Program_connector|Program_connector|1|
